"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"6320491","Influence of Light Quality on Rhythmic Flowering Responses of  Plants","","","01/01/1963","","","CA","Long Beach City College","","","01/01/1965","$20,800.00","","","","","CA","","","","","","$0.00",""
"5906507","In-Service Institute for Secondary School Teachers of Science and Mathematics","","","01/01/1959","","","CA","Long Beach City College","","","10/01/1959","$8,540.00","","","","","CA","","","","","","$0.00",""
"64P2101","English Terminology for the International Tectonic Dictionary","","","01/01/1964","","","CA","Long Beach City College","","","01/01/1966","$16,300.00","","","","","CA","","","","","","$0.00",""
"64E4444","In-Service Institute in Biology","","","01/01/1964","","","CA","Long Beach City College","","","10/01/1964","$11,660.00","","","","","CA","","","","","","$0.00",""
"6217107","Lattice Thermal Conductivity of Two Mixed Crystal Systems","","","01/01/1962","","","CA","Long Beach City College","","","01/01/1964","$22,500.00","","","","","CA","","","","","","$0.00",""
"6324513","N/A","","","01/01/1963","","","CA","Long Beach City College","","","03/01/1963","$29,600.00","","","","","CA","","","","","","$0.00",""
"6009744","N/A","","","01/01/1960","","","CA","Long Beach City College","","","10/01/1960","$11,580.00","","","","","CA","","","","","","$0.00",""
"67S1542","Excavations at Temesco","","","01/01/1967","","","CA","Long Beach City College","","","09/01/1967","$1,600.00","","","","","CA","","","","","","$0.00",""
"64E4336","In-Service Institute in Mathematics","","","01/01/1964","","","CA","Long Beach City College","","","10/01/1964","$5,990.00","","","","","CA","","","","","","$0.00",""
"6323659","N/A","","","01/01/1963","","","CA","Long Beach City College","","","10/01/1963","$11,750.00","","","","","CA","","","","","","$0.00",""
"5905923","Photoperiodic Inhibition of Flowering;","","","01/01/1959","","","CA","Long Beach City College","","","04/01/1960","$10,800.00","","","","","CA","","","","","","$0.00",""
"6114319","N/A","","","01/01/1961","","","CA","Long Beach City College","","","03/01/1961","$885.00","","","","","CA","","","","","","$0.00",""
"6113030","Concentration , Separation and Characterization of the Flowering Hormone, Florigen","","","01/01/1961","","","CA","Long Beach City College","","","01/01/1963","$14,600.00","","","","","CA","","","","","","$0.00",""
"6111765","Morphogenesis and Differentiation in Insect Embryos","","","01/01/1961","","","CA","Long Beach City College","","","01/01/1963","$1,400.00","","","","","CA","","","","","","$0.00",""
"64B1475","Chemical and Biological Characterization of Florigen","","","01/01/1964","","","CA","Long Beach City College","","","01/01/1966","$69,600.00","","","","","CA","","","","","","$0.00",""
"65P4169","Semi-Normal Algebras and Topological Spaces","","","01/01/1965","","","CA","Long Beach City College","","","01/01/1966","$4,000.00","","","","","CA","","","","","","$0.00",""
"5804309","In-Service Institute for Secondary Teachers of Mathematics and Science;","","","01/01/1958","","","CA","Long Beach City College","","","11/01/1958","$5,550.00","","","","","CA","","","","","","$0.00",""
"67P7509","Thermodynamics of Aqueous Mixtures","","","01/01/1967","","","CA","Long Beach City College","","","01/01/1969","$17,000.00","","","","","CA","","","","","","$0.00",""
"6113635","N/A","","","01/01/1961","","","CA","Long Beach City College","","","10/01/1961","$11,600.00","","","","","CA","","","","","","$0.00",""
"640U690","","","","01/01/1964","","","CA","Long Beach City College","","","01/01/1964","$21,518.00","","","","","CA","","","","","","$0.00",""
"6113029","Biological Aspects of a Floral Initiating Extract","","","01/01/1961","","","CA","Long Beach City College","","","01/01/1963","$16,600.00","","","","","CA","","","","","","$0.00",""
"67P7407","Cyclic Phosphonium Salts","","","01/01/1967","","","CA","Long Beach City College","","","01/01/1969","$19,600.00","","","","","CA","","","","","","$0.00",""
"640S517","Excavations at Temesco","","","01/01/1964","","","CA","Long Beach City College","","","05/01/1964","$9,000.00","","","","","CA","","","","","","$0.00",""
